"","Site_ID","Gravimetric Moisture","Date","Top","Bottom","Mid_depth","ProbeType","TopSensorDepth","Sensor","SOC","Sand","Silt","Clay","EC","BD","Theta"
"923","GlenNew",0.059834583,"2018-01-29","50","60",55,"Sentek",30,4,0.371425531945981,27.3903974374971,23.8521252132179,47.9420224353889,0.321519375732973,1.60882621826975,0.0962634458896377
"924","GlenNew",0.100665232,"2018-01-29","60","70",65,"Sentek",30,5,0.337322797609313,24.7567236425193,20.5466971099886,53.7350023402333,0.263026259393109,1.61683677936231,0.162759249500639
"925","GlenNew",0.1286666,"2018-01-29","70","80",75,"Sentek",30,6,0.305965775688548,26.3117240753424,18.4445452797788,54.2333868440998,0.282613228991386,1.65556467700432,0.213015878070243
"926","GlenNew",0.146631579,"2018-01-29","80","90",85,"Sentek",30,7,0.282953061909354,29.2426782675511,17.323568429135,52.4261412026508,0.330009676097657,1.69779608539092,0.248950520820889
"929","GlenWav",0.160760005,"2018-01-29","10","20",15,"Mait",20,1,0.916785227796754,26.6737961192756,17.6429956894741,55.4153004068801,0.493653132933267,1.7541951667,0.282004423769668
"930","GlenWav",0.196588486,"2018-01-29","20","30",25,"Mait",20,2,1.09923389489908,29.6144698289568,18.8989066293555,51.7560622718176,0.479649991273158,1.8154065713,0.356888029326318
"932","GlenWav",0.252307995,"2018-01-29","40","50",45,"Mait",20,3,1.36951119601139,35.9052519094893,20.3408265790649,44.848107772659,0.467845060420577,1.65926892629792,0.418646815960031
"940","GlenNew",0.135767549,"2019-04-10","20","30",25,"Sentek",30,1,0.538537480851118,31.7572830185802,36.0254316618105,31.4862358601058,0.627394124331458,1.6143440741,0.219175538183231
"941","GlenNew",0.140916272,"2019-04-10","30","40",35,"Sentek",30,2,0.425533071563829,33.4194999591587,32.6487685290782,33.2737126216498,0.495748794181837,1.6458682446,0.231929617232216
"942","GlenNew",0.140873249,"2019-04-10","40","50",45,"Sentek",30,3,0.404327374059061,32.4309449762041,28.1456281444124,38.7858960040586,0.431407767979958,1.63705483970714,0.230617234060719
"943","GlenNew",0.131339564,"2019-04-10","50","60",55,"Sentek",30,4,0.371425531945981,27.3903974374971,23.8521252132179,47.9420224353889,0.321519375732973,1.60882621826975,0.211302534059318
"944","GlenNew",0.136433428,"2019-04-10","60","70",65,"Sentek",30,5,0.337322797609313,24.7567236425193,20.5466971099886,53.7350023402333,0.263026259393109,1.61683677936231,0.220590584324879
"945","GlenNew",0.134317862,"2019-04-10","70","80",75,"Sentek",30,6,0.305965775688548,26.3117240753424,18.4445452797788,54.2333868440998,0.282613228991386,1.65556467700432,0.22237190781794
"946","GlenNew",0.143651226,"2019-04-10","80","90",85,"Sentek",30,7,0.282953061909354,29.2426782675511,17.323568429135,52.4261412026508,0.330009676097657,1.69779608539092,0.243890489164406
"950","Dais",0.136096372,"2019-04-10","20","30",25,"Sentek",30,1,0.39796465989979,45.1224570396595,24.6556632768407,32.091298511979,0.135955130453394,1.7697043681,0.240850344010963
"952","Dais",0.135357515,"2019-04-10","40","50",45,"Sentek",30,3,0.38568814283052,43.0411560890889,25.0228906880016,34.0723474231631,0.130094287181708,1.67730031085664,0.227035201986282
"953","Dais",0.113793989,"2019-04-10","50","60",55,"Sentek",30,4,0.30607228070422,46.6724956243679,25.9384525627989,29.715665081822,0.122308030630497,1.72763613299844,0.196594607114427
"954","Dais",0.102982411,"2019-04-10","60","70",65,"Sentek",30,5,0.233752574100802,49.491658244995,26.2132061137216,27.0204512974918,0.126283252017818,1.74366063244754,0.179566375895232
"955","Dais",0.055025537,"2019-04-10","70","80",75,"Sentek",30,6,0.17028029492554,51.4941201157087,25.8465226543358,25.9917201877257,0.142025671187808,1.73176409903,0.0952912495064468
"956","Dais",0.053330545,"2019-04-10","80","90",85,"Sentek",30,7,0.122951813372339,52.6917238282933,25.134351959703,26.1534331078781,0.162773556242476,1.70496188047134,0.0909265462897615
"959","Kurr",0.066424419,"2019-04-10","10","20",15,"Mait",20,1,0.355278312684658,34.2468191697827,22.0483603961434,43.4694788430832,0.463328907405696,1.5834428755,0.105179273024777
"960","Kurr",0.088111653,"2019-04-10","20","30",25,"Mait",20,2,0.473023269589627,23.5408245116181,17.7172419193541,58.0231761694138,0.437720030037097,1.5287146484,0.134697574635838
"964","Kurr",0.168854611,"2019-04-10","60","70",65,"Mait",20,4,0.50017601415167,16.0126123800478,17.2672171654276,65.8733209308406,0.44521853407156,1.57323130108689,0.265647359358051
"966","Kurr",0.153395621,"2019-04-10","80","90",85,"Mait",20,5,0.497145885362027,16.666622824702,18.0450568790791,64.5219898845703,0.451814480009558,1.75481335731742,0.269180684684801
"971","GlenMid",0.254514746,"2019-04-10","30","40",35,"Sentek",35,1,0.572971322207412,23.2058282883816,13.2187822440808,62.3436677364073,0.350452426019052,1.6248491898,0.413548078830253
"972","GlenMid",0.284513806,"2019-04-10","40","50",45,"Sentek",35,2,0.489490694512386,18.4370296248732,9.20125849781392,70.8300233719427,0.394504332758777,1.7945253956,0.510567250265812
"973","GlenMid",0.294725244,"2019-04-10","50","60",55,"Sentek",35,3,0.411127880468149,14.1178120109842,7.91268542048053,76.2542829625827,0.418170515780121,1.38114453356677,0.407058159654732
"974","GlenMid",0.291386774,"2019-04-10","60","70",65,"Sentek",35,4,0.334897612885885,10.579472981214,8.54176406205697,79.1278110554193,0.420109211045167,1.43860215689085,0.419189641565866
"975","GlenMid",0.290120402,"2019-04-10","70","80",75,"Sentek",35,5,0.271121100205099,8.30783074140224,9.99612213283909,80.1115560631719,0.400798719160807,1.51331465050736,0.439043454757684
"976","GlenMid",0.293405929,"2019-04-10","80","90",85,"Sentek",35,6,0.221357507084624,7.19694810676408,11.9788824090881,79.5602698752903,0.365660083151141,1.59846849888962,0.469000134893943
"977","GlenMid",0.273103163,"2019-04-10","90","100",95,"Sentek",35,7,0.190285768436123,6.6302031762458,13.3794958411576,78.9631442249597,0.339871147106643,1.68415587466668,0.459948296356501
"980","GlenTop",0.157268315,"2019-04-10","20","30",25,"Sentek",25,1,0.439987180592897,55.0482219383034,20.2930067271359,27.0531665192188,0.110560898729438,1.6532161075,0.259998511557384
"981","GlenTop",0.19185227,"2019-04-10","30","40",35,"Sentek",25,2,0.289035020621046,55.6007292214802,19.430515037397,27.6387403068888,0.106334409394392,1.6764967722,0.321639711394243
"982","GlenTop",0.140731293,"2019-04-10","40","50",45,"Sentek",25,3,0.237307117762335,56.4864282633228,19.5143985784095,26.8808339594696,0.131142681447572,1.72936247682053,0.243375417428636
"983","GlenTop",0.136281913,"2019-04-10","50","60",55,"Sentek",25,4,0.209453046032607,59.67939394195,18.8871932219958,24.6002439457591,0.138342380055513,1.73413513388863,0.236331253446854
"984","GlenTop",0.10780065,"2019-04-10","60","70",65,"Sentek",25,5,0.183938562044319,65.630422059797,17.1016044841696,20.8294837647293,0.115563099822073,1.7266050034767,0.186129141668041
"985","GlenTop",0.084655278,"2019-04-10","70","80",75,"Sentek",25,6,0.169049039660417,70.7402126745316,15.1271489803108,18.0861348766606,0.0965646161093233,1.6916050301924,0.143203294097136
"986","GlenTop",0.098188959,"2019-04-10","80","90",85,"Sentek",25,7,0.170705204674871,71.6514080421899,14.0256360488897,18.5332792700395,0.111084699421783,1.64398368213031,0.161421046361362
"989","GlenWav",0.168916747,"2019-04-10","10","20",15,"Mait",20,1,0.916785227796754,26.6737961192756,17.6429956894741,55.4153004068801,0.493653132933267,1.7541951667,0.296312941162087
"990","GlenWav",0.191025242,"2019-04-10","20","30",25,"Mait",20,2,1.09923389489908,29.6144698289568,18.8989066293555,51.7560622718176,0.479649991273158,1.8154065713,0.346788479610973
"992","GlenWav",0.25624509,"2019-04-10","40","50",45,"Mait",20,3,1.36951119601139,35.9052519094893,20.3408265790649,44.848107772659,0.467845060420577,1.65926892629792,0.425179515353414
"1000","Braw02",0.0488677,"2019-04-10","20","30",25,"Sentek",30,1,0.26538857137182,36.1149819795195,35.8779329002215,28.3217956900311,0.307987775504975,1.4654174407,0.0716115798668954
"1001","Braw02",0.050939877,"2019-04-10","30","40",35,"Sentek",30,2,0.166530304136877,38.6376843786791,29.861303819071,31.6407289459669,0.414542743797032,1.4860906998,0.0757012774586559
"1002","Braw02",0.053090333,"2019-04-10","40","50",45,"Sentek",30,3,0.184746045970779,42.0454684326652,22.142056934517,35.6587632596423,0.677563144917995,1.64649480219528,0.0874129573313166
"1003","Braw02",0.016405072,"2019-04-10","50","60",55,"Sentek",30,4,0.186400754673879,43.1161799618634,16.1410641254892,40.3505059175266,0.879404497623931,1.61982589183083,0.0265733603829489
"1004","Braw02",0.104706312,"2019-04-10","60","70",65,"Sentek",30,5,0.174906224763008,37.0696456450311,15.6890560445275,46.8070289924384,0.854855428334592,1.59846447190589,0.167369319716293
"1005","Braw02",0.106871181,"2019-04-10","70","80",75,"Sentek",30,6,0.170236439073748,25.2633862045957,20.0221109922901,54.4091615420178,0.63753326878557,1.62362009796011,0.173518197364332
"1006","Braw02",0.118646735,"2019-04-10","80","90",85,"Sentek",30,7,0.170767600195103,16.5324628359384,23.62615529174,59.6475521403823,0.463839550429487,1.69268313024618,0.20083132679329
"1010","Braw03",0.085592172,"2019-04-10","20","30",25,"Sentek",30,1,0.146394784675207,38.2667957728021,32.7196356388067,29.5015635459343,0.585926109669835,1.6555874641,0.141705326988291
"1011","Braw03",0.089676873,"2019-04-10","30","40",35,"Sentek",30,2,0.25512651232303,40.8426117324651,23.1450867046244,36.7857636696557,0.329696208512813,1.7033460745,0.152750749597985
"1012","Braw03",0.090137068,"2019-04-10","40","50",45,"Sentek",30,3,0.315980146048747,37.6203121662567,18.989056943943,44.1535332456674,0.266983029194116,1.57965473601217,0.142385446356451
"1013","Braw03",0.107744826,"2019-04-10","50","60",55,"Sentek",30,4,0.282697179979135,31.6464165941304,18.9824809605792,49.9179595991356,0.338033172467857,1.56914118718376,0.169066844182548
"1014","Braw03",0.121055571,"2019-04-10","60","70",65,"Sentek",30,5,0.25707070109579,28.7681812155982,18.2914026152963,53.2944911373343,0.405944119896282,1.58849098618599,0.192295683361098
"1015","Braw03",0.13686938,"2019-04-10","70","80",75,"Sentek",30,6,0.24443175650159,29.231669387635,16.6855152993674,54.2802036713586,0.463104667631059,1.62152023869854,0.221936469728121
"1016","Braw03",0.148051654,"2019-04-10","80","90",85,"Sentek",30,7,0.240072770822298,30.971523337733,15.070197700609,54.0499357665932,0.502676857402818,1.65525469491056,0.245063195372774
"1020","Yarr",0.113877875,"2019-04-10","20","30",25,"Sentek",30,1,0.3580832083901,35.0934078547072,29.5632856881173,35.8017638979715,0.443155082454003,1.8457104999,0.2101855895938
"1021","Yarr",0.13015873,"2019-04-10","30","40",35,"Sentek",30,2,0.290371735613321,34.1498376231396,25.2207680683014,40.6507557356379,0.413600897605034,1.7610448045,0.229215355226818
"1022","Yarr",0.148710647,"2019-04-10","40","50",45,"Sentek",30,3,0.266915142741015,31.8525882028502,21.9349498471113,45.8356744903371,0.411554962973186,1.56106169288584,0.232146494355968
"1023","Yarr",0.155336997,"2019-04-10","50","60",55,"Sentek",30,4,0.286424584035201,27.7158467869912,21.2612708592274,50.6073817933878,0.463764511353576,1.5713985437815,0.244096330881191
"1024","Yarr",0.144484068,"2019-04-10","60","70",65,"Sentek",30,5,0.31153751928752,24.9407499190672,20.9006896164796,53.7201542678658,0.486887004031759,1.61092902682375,0.232753579054777
"1025","Yarr",0.140216411,"2019-04-10","70","80",75,"Sentek",30,6,0.312258862614557,25.4334224763169,19.2321246764644,54.6554143876001,0.434258834017347,1.65850884156491,0.232550157375999
"1026","Yarr",0.145666132,"2019-04-10","80","90",85,"Sentek",30,7,0.310981792089008,25.9705376991134,18.0812132422361,55.1012924594109,0.395673700032529,1.70780658370046,0.248769579251781
"1030","YarrN",0.120810992,"2019-04-10","20","30",25,"Sentek",30,1,1.41428247224356,41.5139010920476,29.2438412209826,30.5978564168752,0.524240607712671,1.4605011503,0.176444592784884
"1031","YarrN",0.13369524,"2019-04-10","30","40",35,"Sentek",30,2,0.973816938542084,39.0810130064664,25.2953446396862,35.7311545237733,0.551007547596283,1.3403023497,0.179192044315705
"1032","YarrN",0.138193948,"2019-04-10","40","50",45,"Sentek",30,3,0.523124757709476,41.7896975709405,16.9729257685232,41.0324274351456,0.744372434164999,1.62460568121981,0.224510673030994
"1033","YarrN",0.113104636,"2019-04-10","50","60",55,"Sentek",30,4,0.32735167824612,36.7545218229537,13.6527064952239,49.5094158612807,0.771145372948975,1.56883841750947,0.177442898155225
"1034","YarrN",0.10445002,"2019-04-10","60","70",65,"Sentek",30,5,0.309906136422788,24.2710985706109,17.6008117735493,57.815137344583,0.565082066201537,1.57554165168934,0.164565357029784
"1035","YarrN",0.096429821,"2019-04-10","70","80",75,"Sentek",30,6,0.258492247881943,26.1107417706316,17.393202829197,55.9243728532622,0.546452687425223,1.62842136120129,0.157028380373217
"1036","YarrN",0.118699953,"2019-04-10","80","90",85,"Sentek",30,7,0.219648966019256,29.3165190792937,16.6048775593755,53.3389533411124,0.562360280854214,1.6678648760666,0.197975482399456
"1040","Fair",0.089664052,"2019-04-10","20","30",25,"Sentek",25,1,0.456952636169799,51.8377084688096,30.0288642806964,20.1403094333654,0.476702209370252,1.4248358293,0.127756553889818
"1041","Fair",0.079044351,"2019-04-10","30","40",35,"Sentek",25,2,0.468750830227328,43.1221520228066,25.2586116682531,33.847929654017,0.373443434541037,1.5916960999,0.125814585205827
"1042","Fair",0.091338052,"2019-04-10","40","50",45,"Sentek",25,3,0.409606224310785,28.2184832632213,19.5633105469235,54.3040708855356,0.242667850121304,1.49527541919508,0.136575543992762
"1043","Fair",0.126324766,"2019-04-10","50","60",55,"Sentek",25,4,0.337351925111587,19.4802347153557,17.7148197320827,64.9791274698435,0.149085316585551,1.46332435535605,0.184854106772454
"1044","Fair",0.124918926,"2019-04-10","60","70",65,"Sentek",25,5,0.265737463602346,20.3055023717082,20.9847690933477,61.366214104403,0.1106232579211,1.54941424915209,0.193551163933176
"1045","Fair",0.110054184,"2019-04-10","70","80",75,"Sentek",25,6,0.223562337539859,25.3861432439122,26.100511111683,51.7590137405073,0.103284405213454,1.66162294247446,0.182868557049706
